point_id,ngv,n_disc,radius,n_below_m1,n_above_45
2106_2021_MN,0.0,3150,7.5,0,0
2107_2021_MN,0.048862115127175365,2988,7.5,0,0
2108_2021_MN,0.0029712776493892373,3029,7.5,0,0
2109_2021_MN,0.08694246929541047,3094,7.5,0,0
2110_2021_MN,0.0,1537,7.5,0,0
2111_2021_MN,0.00046918986549890525,6394,7.5,0,0
2112_2021_MN,0.197514715500327,1529,7.5,0,0
2113_2022_MN,0.024584970219237105,7891,7.5,0,0
2114_2021_MN,0.22408627920910726,1669,7.5,0,0
2115_2021_MN,0.08271186440677966,1475,7.5,0,0
2116_2021_MN,0.02694136291600634,1893,7.5,0,0
2117_2021_MN,0.13019218846869188,1613,7.5,0,0
2118_2021_MN,0.050096961861667746,3094,7.5,0,0
2119_2021_MN,0.0077192982456140355,1425,7.5,0,0
2120_2021_MN,0.00016168148746968473,6185,7.5,0,0
2121_2021_MN,0.0006578947368421052,1520,7.5,0,0
2122_2022_MN,0.012333333333333333,6000,7.5,0,0
2123_2021_MN,0.12843406593406592,1456,7.5,0,0
2124_2022_MN,0.0,5330,7.5,0,0
2125_2021_MN,0.03672985781990521,5908,7.5,0,0
2126_2022_MN,0.028824833702882482,1353,7.5,0,0
2127_2022_MN,0.03697284806470248,1731,7.5,0,0
2128_2021_MN,0.005670240099229202,11287,7.5,0,0
2129_2022_MN,0.0199203187250996,2761,7.5,0,0
2130_2021_MN,0.0028328611898017,1412,7.5,0,0
2131_2021_MN,0.0,3707,7.5,0,0
2132_2021_MN,0.009551800146950772,1361,7.5,0,0
2133_2021_MN,0.0677703052250388,1933,7.5,0,0
2134_2021_MN,0.006024096385542169,1494,7.5,0,0
2135_2021_MN,0.004658810633050151,3649,7.5,0,0
2136_2021_MN,0.009283819628647215,1508,7.5,0,0
2137_2021_MN,0.0,1655,7.5,0,0
2138_2021_MN,0.0274442538593482,2915,7.5,0,0
2139_2021_MN,0.019690122659780502,3098,7.5,0,0
2140_2021_MN,0.022753792298716453,1714,7.5,0,0
2141_2021_MN,0.16401321718233705,3329,7.5,0,0
2142_2021_MN,0.15245623941276115,1771,7.5,0,0
2143_2022_MN,0.00906858114490837,5293,7.5,0,0
2144_2021_MN,0.0,2893,7.5,0,0
2145_2021_MN,0.04884488448844884,1515,7.5,0,0
2146_2021_MN,0.056657223796033995,1765,7.5,0,0
2147_2022_MN,0.03440898555892316,5609,7.5,0,0
2148_2021_MN,0.010127239678005712,3851,7.5,0,0
2149_2021_MN,0.012623985572587917,3327,7.5,0,0
2150_2021_MN,0.009180790960451978,1416,7.5,0,0
2151_2021_MN,0.07889546351084813,1521,7.5,0,0
2152_2022_MN,0.021520236920039487,5065,7.5,0,0
2153_2022_MN,0.004824012864034304,5597,7.5,0,0
2154_2021_MN,0.0580608793686584,1774,7.5,0,0
2155_2021_MN,0.05086313193588163,3244,7.5,0,0
2156_2021_MN,0.000683526999316473,1463,7.5,0,0
2157_2021_MN,0.0,1477,7.5,0,0
2158_2021_MN,0.00130718954248366,1530,7.5,0,0
2159_2021_MN,0.12103838190794712,6279,7.5,0,0
2160_2022_MN,0.00012061271257990592,8291,7.5,0,0
2161_2021_MN,0.0,5848,7.5,0,0
2162_2021_MN,0.012784376887457217,9934,7.5,0,0
2163_2021_MN,0.003628566716147122,6063,7.5,0,0
2164_2021_MN,0.04752206381534284,5892,7.5,0,132
2165_2021_MN,0.03854466858789626,5552,7.5,0,0
2166_2021_MN,0.24102609000175101,11422,7.5,0,0
2167_2021_MN,0.09762223710649699,11944,7.5,0,0
2168_2021_MN,0.0014998750104157988,12001,7.5,0,0
2169_2021_MN,0.03411962931760741,9496,7.5,0,0
2170_2021_MN,0.0,11086,7.5,0,0
2171_2021_MN,0.030820872749465975,6554,7.5,0,0
2172_2021_MN,0.11463229719484458,6595,7.5,0,0
2173_2021_MN,0.004226954966672086,6151,7.5,0,0
2174_2021_MN,0.014318255776114546,6146,7.5,0,0
2175_2021_MN,0.0472746752377126,14934,7.5,0,0
2176_2021_MN,0.00017162962327297692,11653,7.5,0,0
2177_2021_MN,0.0026219192448872575,5721,7.5,0,0
2178_2021_MN,0.003247631935047361,7390,7.5,0,0
2179_2021_MN,0.10601959869342044,10715,7.5,0,0
2180_2021_MN,0.03897644467039485,11802,7.5,0,0
2181_2021_MN,0.058519491896627245,11415,7.5,0,0
2182_2021_MN,0.04575062034739454,6448,7.5,0,0
2183_2021_MN,0.02878516832005204,6149,7.5,0,0
2184_2021_MN,0.003063167480751718,12079,7.5,0,0
2185_2021_MN,0.0,5245,7.5,0,0
2186_2021_MN,0.007148530579825258,12590,7.5,0,0
2187_2021_MN,0.012883076322467305,5123,7.5,0,0
2188_2021_MN,0.04208754208754209,9504,7.5,0,0
2189_2021_MN,0.00021134946634259749,9463,7.5,0,0
2190_2021_MN,0.00268411340379131,5961,7.5,0,0
2191_2021_MN,0.0,10598,7.5,0,0
2192_2021_MN,0.09255356515630488,11388,7.5,0,0
2193_2021_MN,0.0035157810627247303,12515,7.5,0,0
2194_2021_MN,0.09867013145826964,13084,7.5,0,0
2195_2022_MN,0.12287334593572778,5290,7.5,0,0
2196_2022_MN,0.0,6539,7.5,0,0
2197_2021_MN,0.0,3222,7.5,0,0
2198A_2022_MN,0.0,5525,7.5,0,0
2198_2022_MN,0.0014233187047799788,8431,7.5,0,0
2199_2022_MN,0.0,5545,7.5,0,0
2200_2022_MN,0.0017944730230888863,8359,7.5,0,0
2201_2022_MN,0.013198316076914325,8789,7.5,0,0
2202_2022_MN,0.12750321513871027,5443,7.5,0,0
2203_2022_MN,0.023596122187671483,5467,7.5,0,0
2204_2022_MN,0.019863438857852266,1611,7.5,0,0
2205_2022_MN,0.0,5137,7.5,0,0
2206_2022_MN,0.13200068929863865,5803,7.5,0,0
2207_2022_MN,0.01163623344074472,5586,7.5,0,0
2208_2022_MN,0.021829652996845427,7925,7.5,0,0
2209_2022_MN,0.06929966231096756,6811,7.5,0,0
2210_2021_MN,0.14628057913130305,2003,7.5,0,0
2211_2022_MN,0.07555296856810244,8590,7.5,0,0
2212_2022_MN,0.0016460905349794238,8505,7.5,0,0
2213_2022_MN,0.00120312813314618,4987,7.5,0,0
2214_2022_MN,0.09037726838586438,8376,7.5,0,0
2215_2022_MN,0.0005587632706276774,5369,7.5,0,0
2216_2022_MN,0.025123890745649417,8677,7.5,0,0
2217_2022_MN,0.0016936394429808055,5314,7.5,0,0
2218_2022_MN,0.0,5130,7.5,0,0
2219_2022_MN,0.001052262364082778,5702,7.5,0,0
2220_2022_MN,0.05429191907646588,8749,7.5,0,0
2221_2022_MN,0.0006108735491753207,4911,7.5,0,0
2222_2022_MN,0.003537879712089789,8197,7.5,0,0
2223_2022_MN,0.03266699171136031,8204,7.5,0,0
2224_2022_MN,0.027485452519499815,8077,7.5,0,0
2225_2022_MN,0.0011574074074074073,1728,7.5,4,0
2226_2022_MN,0.04596848934198332,5395,7.5,0,0
3000_2021_MN,0.006983240223463687,1432,7.5,0,0
3001_2021_MN,0.2280571809495593,13501,7.5,0,0
3002_2021_MN,0.016286644951140065,6447,7.5,0,0
3003_2021_MN,0.3145906690140845,9088,7.5,0,0
3004_2021_MN,0.09259259259259259,8532,7.5,0,0
3005_2021_MN,0.31516417910447764,16750,7.5,106,0
3006_2021_MN,0.26563876651982377,11350,7.5,0,0
3007_2021_MN,0.12026832774317202,16696,7.5,0,0
3008_2021_MN,0.038798219584569735,40440,7.5,0,0
3009_2021_MN,0.16604330708661416,10160,7.5,0,0
3010_2021_MN,0.14347225607279226,12309,7.5,0,0
3011_2021_MN,0.0030441400304414,3285,7.5,0,0
3012_2021_MN,0.0009315718157181572,11808,7.5,0,0
3013_2021_MN,0.1274703557312253,10120,7.5,0,0
3014_2021_MN,0.0611324903793293,9095,7.5,0,0
3015_2021_MN,0.3065064852221986,9406,7.5,0,0
3016_2021_MN,0.0,11943,7.5,0,0
3017_2021_MN,0.1461212456237332,5427,7.5,0,0
3018_2021_MN,0.001798920647611433,5003,7.5,0,0
3019_2021_MN,0.13848774947265943,12326,7.5,0,0
3020_2021_MN,0.07216296723359278,10407,7.5,0,0
3022_2021_MN,0.1695444828153264,12162,7.5,0,0
3023_2021_MN,0.37030357679591225,6654,7.5,0,0
3024_2021_MN,0.037582529202640935,9845,7.5,0,0
3025_2021_MN,0.05639097744360902,8246,7.5,0,0
3026_2021_MN,0.0,12116,7.5,0,0
3027_2021_MN,0.13849845731916352,5834,7.5,0,0
3028_2021_MN,0.023371365476628634,5434,7.5,0,0
3029_2021_MN,0.24511740179942945,4557,7.5,0,0
3030_2021_MN,0.00036643459142543056,5458,7.5,0,0
3031_2021_MN,9.336196433572963e-05,10711,7.5,0,0
3032_2021_MN,0.0229328165374677,6192,7.5,0,0
3033_2021_MN,0.3149432881841207,9081,7.5,0,0
3034_2021_MN,0.0,2293,7.5,0,0
3035_2022_MN,0.0007005253940455342,5710,7.5,0,0
3036_2022_MN,0.143998547303432,5507,7.5,0,0
3037_2021_MN,0.04852686308492201,5193,7.5,0,0
3038_2022_MN,0.08947885939036382,2034,7.5,0,0
3039_2022_MN,0.1256486601446193,11755,7.5,0,0
3040_2022_MN,0.2341420637240573,6842,7.5,0,0
3041_2021_MN,0.07413548081477972,4222,7.5,0,0
3042_2022_MN,0.03169282340393113,13126,7.5,0,0
3043_2022_MN,0.07901506798970967,5442,7.5,0,0
3044_2022_MN,0.0016224359717232587,8629,7.5,0,0
3045_2022_MN,0.08012583271650629,5404,7.5,0,0
3046_2022_MN,0.0973546877811769,5557,7.5,0,0
3047_2022_MN,0.03529839883551674,5496,7.5,0,0
3048_2022_MN,0.06773413201244097,8681,7.5,0,0
3049_2022_MN,0.1380328255992443,8469,7.5,0,0
3050_2022_MN,0.04306498545101843,5155,7.5,0,0
3051_2022_MN,0.018490754622688656,6003,7.5,0,0
3052_2022_MN,0.005728607232366631,8379,7.5,0,0
3053_2022_MN,0.12135231316725979,5620,7.5,0,0
3054_2022_MN,0.0922279792746114,5790,7.5,0,0
3055_2022_MN,0.010871568085498435,5427,7.5,0,0
3056_2021_MN,0.09361069836552749,2019,7.5,0,0
3057_2022_MN,0.0052268060481612845,5357,7.5,0,0
3058_2022_MN,0.14704296243034334,5563,7.5,0,0
3059_2022_MN,0.0069223573433115065,5345,7.5,0,0
3060_2022_MN,0.06386526596631649,5997,7.5,0,0
3061_2022_MN,0.0223342939481268,8328,7.5,0,0
3062_2022_MN,0.08977035490605428,5269,7.5,0,0
3063_2022_MN,0.012422360248447204,5474,7.5,0,0
3064_2022_MN,0.006406632749199171,5307,7.5,0,0
3066_2022_MN,0.20114606478774413,8551,7.5,0,0
3067_2022_MN,0.0012828736369467607,7795,7.5,0,0
3068_2022_MN,0.00018986140117714068,5267,7.5,0,0
3069_2022_MN,0.07465766272744326,5331,7.5,0,0
3070_2022_MN,0.07149256405662067,5581,7.5,0,0
3071_2022_MN,0.0025655121861828845,5457,7.5,0,0
3072_2022_MN,0.0910577971646674,5502,7.5,0,0
3073_2021_MN,0.14767932489451477,1422,7.5,0,0
3074_2021_MN,0.05435283279594657,2171,7.5,0,0
3075_2021_MN,0.34137291280148424,2695,7.5,18,0
3076_2021_MN,0.328525641025641,6240,7.5,0,0
3077_2021_MN,0.03580379520229144,2793,7.5,0,0
3078_2021_MN,0.2399571505088377,1867,7.5,0,0
3079_2021_MN,0.1938582947332304,5829,7.5,0,0
3080_2021_MN,0.12007089056269384,4514,7.5,0,0
3081_2021_MN,0.4017437961099933,2982,7.5,0,0
3082_2021_MN,0.11784168999745483,3929,7.5,0,0
